id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,est_bookings_mo,occupancy_rate,projected_revenue
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,91.0,2,777,2025-09-21,4.46,1,234,34,,91.0,8.92,0.7,1910.9999999999998
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,103.0,2,1519,2025-09-09,9.18,5,131,93,,103.0,18.36,0.7,2163.0
430052,"Private Vaulted Studio! King,WetBar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,94.0,2,1134,2025-09-02,7.01,5,42,69,,94.0,14.02,0.7,1973.9999999999998
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,216.0,2,549,2025-08-17,3.38,5,314,15,,216.0,6.76,0.676,4380.4800000000005
632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,186.0,2,459,2025-09-01,2.87,5,38,16,,186.0,5.74,0.574,3202.9199999999996
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,John,,District 6,36.17393,-86.73894,Entire home/apt,128.0,3,346,2025-06-08,2.23,2,253,8,,128.0,4.46,0.44599999999999995,1712.6399999999999
681880,Luxurious Cozy Guesthouse,3471162,Tiffany,,District 7,36.21536,-86.71024,Entire home/apt,87.0,1,866,2025-09-14,5.49,1,148,95,,87.0,10.98,0.7,1826.9999999999998
914787,"Walk to Downtown Broadway Pool, Free Parking, Gym",4910520,Amy,,District 19,36.17539978,-86.7818985,Entire home/apt,179.0,1,471,2025-09-15,3.09,15,335,42,,179.0,6.18,0.618,3318.66
1006989,Private Carriage House,1896384,John,,District 6,36.17502,-86.73475,Entire home/apt,88.0,2,661,2025-09-22,4.35,1,62,43,,88.0,8.7,0.7,1847.9999999999998
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21239,-86.70439,Entire home/apt,130.0,3,293,2025-06-23,1.93,1,56,16,201513025,130.0,3.86,0.386,1505.4
1300670,Valentino's Retreat,119023,Dana,,District 10,36.32249,-86.72652,Entire home/apt,151.0,2,164,2025-07-13,1.1,1,248,7,,151.0,2.2,0.22000000000000003,996.6000000000001
1546787,Cozy Guest House in Vibrant 12 South,6855810,UrbanNashville,,District 18,36.12991714477539,-86.79246520996094,Entire home/apt,76.0,2,564,2025-09-14,3.99,115,141,37,2019073053,76.0,7.98,0.7,1596.0
1557535,Ultimate girls or guys weekend! Close to downtown!,8291189,John,,District 7,36.22621,-86.7103,Entire home/apt,411.0,3,107,2025-06-29,0.74,1,317,15,,411.0,1.48,0.148,1824.84
1661560,"Unique, tucked away, retro, dreamy porch w/ view",8804227,Kelli Katrice,,District 6,36.17622,-86.73512,Entire home/apt,158.0,1,133,2024-11-25,0.92,1,239,1,,158.0,1.84,0.18400000000000002,872.1600000000001
